iter	Logloss
0	0.6754332748
1	0.6542553169
2	0.633111362
3	0.6155998088
4	0.5993012193
5	0.5823610194
6	0.5710759732
7	0.5579528214
8	0.5427421601
9	0.5274631152
10	0.5147591418
11	0.5016545091
12	0.4893345078
13	0.4750948901
14	0.4636769242
15	0.451599799
16	0.4433980126
17	0.4331780867
18	0.4250360016
19	0.4164923975
20	0.407766832
21	0.3997237231
22	0.3922345034
23	0.3862407438
24	0.3791036774
25	0.3721864823
26	0.3650895003
27	0.3561382569
28	0.3494725134
29	0.3443807425
30	0.338148222
31	0.333449174
32	0.3248706581
33	0.3198487845
34	0.3126266696
35	0.3073576282
36	0.3039827635
37	0.2979538933
38	0.2931093982
39	0.2898665705
40	0.2845359794
41	0.2815482424
42	0.2791441868
43	0.2767374496
44	0.2727265025
45	0.2707871296
46	0.2668018452
47	0.2641018753
48	0.261497557
49	0.2595655416
50	0.2556319004
51	0.2542200083
52	0.251354188
53	0.2492654543
54	0.247288074
55	0.2455906024
56	0.2434330505
57	0.2416154796
58	0.2390990388
59	0.2362732896
60	0.2343645355
61	0.2324666846
62	0.2294593424
63	0.2273152522
64	0.2254620176
65	0.2233945204
66	0.2214947884
67	0.220097286
68	0.2190003787
69	0.2177918361
70	0.2147813906
71	0.213096209
72	0.2127249931
73	0.2101142728
74	0.2086877744
75	0.2076693634
76	0.2061290179
77	0.2051162422
78	0.2045264261
79	0.2034244119
80	0.2028976021
81	0.2021225236
82	0.2012224231
83	0.2002634157
84	0.1987281179
85	0.1975695983
86	0.1963350549
87	0.1958961776
88	0.1954783276
89	0.1947410156
90	0.194314423
91	0.1937067611
92	0.1930014
93	0.192321804
94	0.191084874
95	0.1908157112
96	0.1902541941
97	0.1896474764
98	0.1892256011
99	0.1886673357
100	0.1875293264
101	0.186985347
102	0.1863525582
103	0.1861100209
104	0.1855092878
105	0.1849454659
106	0.1843683856
107	0.1839435474
108	0.1835947573
109	0.1832106335
110	0.1826874929
111	0.1821782187
112	0.1814755171
113	0.1809136322
114	0.1804830658
115	0.1795182081
116	0.1790570525
117	0.1786522888
118	0.1782817719
119	0.1778276383
120	0.1773258335
121	0.1765375678
122	0.17611006
123	0.1757243775
124	0.1745098802
125	0.1738327399
126	0.1735668149
127	0.1728188639
128	0.1723154626
129	0.171976022
130	0.1716324064
131	0.171083211
132	0.1706265394
133	0.1700592742
134	0.1697578801
135	0.1691113423
136	0.1685695934
137	0.16811024
138	0.1677109316
139	0.1672894181
140	0.1668246852
141	0.1665055315
142	0.1659269633
143	0.1653380961
144	0.165047512
145	0.1649205826
146	0.1647098969
147	0.1645780298
148	0.1639758051
149	0.1636190206
150	0.163088431
151	0.1625787366
152	0.1622261421
153	0.1618171069
154	0.1614576291
155	0.1610556233
156	0.1608697048
157	0.1605939732
158	0.160263554
159	0.159774736
160	0.1591215208
161	0.1587753837
162	0.1584414239
163	0.1581429817
164	0.1576077663
165	0.1571517761
166	0.1564751316
167	0.1560996091
168	0.1556683369
169	0.155225534
170	0.1548997715
171	0.1542753086
172	0.1540045201
173	0.153793712
174	0.1533581532
175	0.152974631
176	0.1527092141
177	0.1523353547
178	0.1519689926
179	0.1517961979
180	0.1514194409
181	0.1509049443
182	0.1506148113
183	0.150292912
184	0.1499410264
185	0.149715249
186	0.1495174595
187	0.1492604626
188	0.1490154905
189	0.1484538479
190	0.1480571864
191	0.147528851
192	0.1471259791
193	0.146709396
194	0.1462438979
195	0.1456789981
196	0.1453424253
197	0.145005231
198	0.1446429361
199	0.1443513561
200	0.1441109429
201	0.1438474714
202	0.1434748919
203	0.1432370026
204	0.1429045492
205	0.1424894254
206	0.1422274697
207	0.1420048263
208	0.1417054482
209	0.1413526551
210	0.1407866797
211	0.1403801001
212	0.1401813382
213	0.1398679996
214	0.1395759806
215	0.1392172682
216	0.1388591257
217	0.1386605397
218	0.1383895125
219	0.1381847828
220	0.1379250225
221	0.1377026208
222	0.1373384862
223	0.1370451535
224	0.1368984506
225	0.1367641927
226	0.1365206272
227	0.1363037012
228	0.1359200103
229	0.1355219883
230	0.1351993221
231	0.1349121289
232	0.1345929176
233	0.1342579027
234	0.1337473359
235	0.1333376181
236	0.1328057166
237	0.1324982581
238	0.132372755
239	0.1322033614
240	0.1319432141
241	0.131559238
242	0.1311548398
243	0.1309793878
244	0.1307663953
245	0.1305127127
246	0.1302999345
247	0.1300919467
248	0.1290493373
249	0.1287785402
250	0.1285251953
251	0.1282876379
252	0.1278912091
253	0.1275764916
254	0.127355308
255	0.1271637834
256	0.1269576974
257	0.1265934271
258	0.1263926176
259	0.12618601
260	0.1259859616
261	0.1255784374
262	0.1252708773
263	0.1250446249
264	0.1247966005
265	0.1245946565
266	0.1243747625
267	0.124077479
268	0.1239459675
269	0.1237569834
270	0.1235811524
271	0.1233459764
272	0.1230493859
273	0.1226296623
274	0.1224402664
275	0.122117505
276	0.1219578532
277	0.1216518344
278	0.1214519985
279	0.1211818051
280	0.1207862353
281	0.1204206638
282	0.1199341162
283	0.1195859219
284	0.1193553466
285	0.1191114303
286	0.1188341941
287	0.1186473938
288	0.1183426121
289	0.1180110085
290	0.1177945301
